F,N,M,mode,W,core_type,model,work,placement,n_machines,n_ticks,repeat,scenario_name,sim_id,setup_s,broker_setup_s,federate_spawn_s,sim_wall_s,perf_n_ticks,tick_mean_s,tick_median_s,tick_p95_s,failure_mode,peak_rss_mb,cpu_util_pct,throughput_inst_steps_s,exchange,distance,fanout,msg_width,freq,causality,n_edges,n_subs,max_fed_in,max_fed_out
2,4,4,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,2,scaling_F2_N4_M4_seq_zmq_ss_distributed_nat_xcross_machine_1toN_w1_f1_same_step,20260728_091915,3.0552656650543213,0.6518230438232422,0.04943418502807617,0.09823083877563477,300,0.00032683769861857094,0.00029730796813964844,0.000438690185546875,,796.3984375,680.7941176470588,97728.98327710493,on,cross_machine,1toN,1,1,same_step,16,16,4,16
2,4,4,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,0,scaling_F2_N4_M4_seq_zmq_ss_distributed_nat_xcross_machine_1to1_w1_f1_same_step,20260728_091921,3.428076982498169,0.6389107704162598,0.04887795448303223,0.1042935848236084,300,0.00034700473149617514,0.0003123283386230469,0.0003688335418701172,,794.7265625,762.5294117647059,92047.84758560623,on,cross_machine,1to1,1,1,same_step,16,16,4,4
2,4,4,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,1,scaling_F2_N4_M4_seq_zmq_ss_distributed_nat_xcross_machine_1to1_w1_f1_same_step,20260728_091926,3.292227029800415,0.6400785446166992,0.04869246482849121,0.10323572158813477,300,0.00034343322118123373,0.0003050565719604492,0.0003685951232910156,,789.1953125,764.0500000000001,92991.06793964001,on,cross_machine,1to1,1,1,same_step,16,16,4,4
2,4,4,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,2,scaling_F2_N4_M4_seq_zmq_ss_distributed_nat_xcross_machine_1to1_w1_f1_same_step,20260728_091932,3.472032308578491,0.636962890625,0.0491790771484375,0.09784126281738281,300,0.0003255486488342285,0.0002911090850830078,0.000324249267578125,,795.828125,732.3176470588235,98118.11217030235,on,cross_machine,1to1,1,1,same_step,16,16,4,4
2,4,4,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,0,scaling_F2_N4_M4_seq_zmq_ss_distributed_nat_xcross_machine_all2all_w64_f1_same_step,20260728_091938,,,,,,,,,timeout,803.03125,799.4119783616692,,on,cross_machine,all2all,64,1,same_step,64,16,16,16
2,4,4,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,1,scaling_F2_N4_M4_seq_zmq_ss_distributed_nat_xcross_machine_all2all_w64_f1_same_step,20260728_091938,,,,,,,,,timeout,784.390625,701.8173374613003,,on,cross_machine,all2all,64,1,same_step,64,16,16,16
2,4,4,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,2,scaling_F2_N4_M4_seq_zmq_ss_distributed_nat_xcross_machine_all2all_w64_f1_same_step,20260728_093339,,,,,,,,,timeout,784.0234375,701.8886996904024,,on,cross_machine,all2all,64,1,same_step,64,16,16,16
2,4,4,seq,,zmq_ss,exchange_dummy,,local,1,300,0,scaling_F2_N4_M4_seq_zmq_ss_local_xcross_fed_all2all_w64_f1_same_step,20260728_094039,1.7663674354553223,0.6312649250030518,0.05877113342285156,0.13530492782592773,300,0.0004503480593363444,0.0004411935806274414,0.0005347728729248047,,1355.87890625,1655.31,70950.8526721996,on,cross_fed,all2all,64,1,same_step,64,16,16,16
2,4,4,seq,,zmq_ss,exchange_dummy,,local,1,300,1,scaling_F2_N4_M4_seq_zmq_ss_local_xcross_fed_all2all_w64_f1_same_step,20260728_094043,1.856656551361084,0.6332039833068848,0.06944918632507324,0.1972644329071045,300,0.0006566723187764486,0.0006213188171386719,0.0007529258728027344,,1351.6484375,1825.5,48665.640625245505,on,cross_fed,all2all,64,1,same_step,64,16,16,16
2,4,4,seq,,zmq_ss,exchange_dummy,,local,1,300,2,scaling_F2_N4_M4_seq_zmq_ss_local_xcross_fed_all2all_w64_f1_same_step,20260728_094047,1.8070499897003174,0.6331555843353271,0.06177234649658203,0.20924139022827148,300,0.000696412722269694,0.0006965398788452148,0.0007975101470947266,,1356.4140625,1597.56,45880.02397387486,on,cross_fed,all2all,64,1,same_step,64,16,16,16
2,4,4,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,0,scaling_F2_N4_M4_seq_zmq_ss_distributed_nat_xcross_machine_all2all_w1024_f1_same_step,20260728_094050,,,,,,,,,timeout,782.51171875,701.3055857253685,,on,cross_machine,all2all,1024,1,same_step,64,16,16,16
2,4,4,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,1,scaling_F2_N4_M4_seq_zmq_ss_distributed_nat_xcross_machine_all2all_w1024_f1_same_step,20260728_094751,,,,,,,,,timeout,785.49609375,702.1525989138867,,on,cross_machine,all2all,1024,1,same_step,64,16,16,16
2,4,4,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,2,scaling_F2_N4_M4_seq_zmq_ss_distributed_nat_xcross_machine_all2all_w1024_f1_same_step,20260728_095451,,,,,,,,,timeout,785.10546875,701.2493395493395,,on,cross_machine,all2all,1024,1,same_step,64,16,16,16
2,4,4,seq,,zmq_ss,exchange_dummy,,local,1,300,0,scaling_F2_N4_M4_seq_zmq_ss_local_xcross_fed_all2all_w1024_f1_same_step,20260728_100151,2.0579283237457275,0.6321344375610352,0.06783866882324219,0.43725085258483887,300,0.0014564307530721028,0.0011178255081176758,0.0020797252655029297,,1450.1171875,1583.8692307692306,21955.36027717026,on,cross_fed,all2all,1024,1,same_step,64,16,16,16
2,4,4,seq,,zmq_ss,exchange_dummy,,local,1,300,1,scaling_F2_N4_M4_seq_zmq_ss_local_xcross_fed_all2all_w1024_f1_same_step,20260728_100156,2.0614688396453857,0.6341800689697266,0.11043834686279297,0.41158485412597656,294,0.0013989964310003786,0.0011154413223266602,0.001834869384765625,HelicsException: [-101] lost connection with server,1408.4921875,440.80049019607844,23324.473443966097,on,cross_fed,all2all,1024,1,same_step,64,16,16,16
2,4,4,seq,,zmq_ss,exchange_dummy,,local,1,300,2,scaling_F2_N4_M4_seq_zmq_ss_local_xcross_fed_all2all_w1024_f1_same_step,20260728_100303,2.0043718814849854,0.6333613395690918,0.0734090805053711,0.434633731842041,299,0.0014526365592726896,0.0011334419250488281,0.0019948482513427734,HelicsException: [-101] lost connection with server,1441.19140625,434.8627450980392,22087.563151883776,on,cross_fed,all2all,1024,1,same_step,64,16,16,16
